DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-03 12:06:00,1.1062,1.1064,1.1062,1.10647,1.0
2020-02-03 12:11:00,1.10647,1.10662,1.10629,1.10648,0.0
2020-02-03 12:16:00,1.10648,1.10663,1.10635,1.10647,0.0
2020-02-03 12:21:00,1.10646,1.10647,1.10618,1.10626,0.0
2020-02-03 12:26:00,1.10627,1.10637,1.10615,1.10621,0.0
2020-02-03 12:31:00,1.10621,1.10621,1.1061,1.1061,0.0
2020-02-03 12:36:00,1.10609,1.10615,1.10606,1.10606,0.0
2020-02-03 12:41:00,1.10606,1.10608,1.10594,1.10595,1.0
2020-02-03 12:46:00,1.10596,1.10626,1.10596,1.10612,0.0
2020-02-03 12:51:00,1.10612,1.10612,1.10599,1.1059,0.0
2020-02-03 12:56:00,1.10591,1.10591,1.10579,1.10586,1.0
2020-02-03 13:01:00,1.10584,1.10622,1.10584,1.10621,0.0
2020-02-03 13:06:00,1.10621,1.10625,1.10618,1.10618,1.0
2020-02-03 13:11:00,1.10619,1.10632,1.10619,1.10622,1.0
2020-02-03 13:16:00,1.10623,1.10637,1.10623,1.10627,0.0
2020-02-03 13:21:00,1.10626,1.10626,1.10622,1.10621,0.0
2020-02-03 13:26:00,1.10622,1.10629,1.10617,1.10617,0.0
2020-02-03 13:31:00,1.10617,1.10621,1.10606,1.1061,0.0
2020-02-03 13:36:00,1.1061,1.1061,1.10598,1.10602,0.0
2020-02-03 13:41:00,1.10603,1.10618,1.106,1.106,1.0
2020-02-03 13:47:00,1.106,1.106,1.10591,1.10613,0.0
2020-02-03 13:52:00,1.10613,1.10619,1.10601,1.10612,1.0
2020-02-03 13:57:00,1.10613,1.10624,1.10609,1.10619,1.0
2020-02-03 14:02:00,1.1062,1.10624,1.10612,1.10624,0.5
2020-02-03 14:07:00,1.10623,1.10628,1.10623,1.10624,1.0
2020-02-03 14:12:00,1.10623,1.10628,1.10618,1.10626,0.0
2020-02-03 14:17:00,1.10625,1.10629,1.10613,1.10618,1.0
2020-02-03 14:22:00,1.10619,1.10625,1.10612,1.10628,1.0
2020-02-03 14:27:00,1.10628,1.10633,1.10628,1.10632,1.0
2020-02-03 14:32:00,1.10633,1.10633,1.10609,1.10638,1.0
2020-02-03 14:37:00,1.10638,1.10644,1.10638,1.10643,0.0
2020-02-03 14:42:00,1.10642,1.10644,1.10629,1.10632,0.0
2020-02-03 14:47:00,1.10632,1.10637,1.10627,1.10627,0.0
2020-02-03 14:52:00,1.10627,1.10636,1.10615,1.10617,1.0
2020-02-03 14:57:00,1.10617,1.10653,1.10617,1.10627,0.0
2020-02-03 15:02:00,1.1063,1.1063,1.10621,1.10621,0.0
2020-02-03 15:07:00,1.10619,1.10619,1.10614,1.10613,1.0
2020-02-03 15:12:00,1.10612,1.10616,1.10612,1.10614,0.0
2020-02-03 15:17:00,1.10615,1.10615,1.10603,1.10605,0.0
2020-02-03 15:22:00,1.10606,1.10606,1.10594,1.10596,0.0
2020-02-03 15:27:00,1.10595,1.10602,1.10595,1.10591,0.0
2020-02-03 15:32:00,1.10591,1.10592,1.10581,1.10583,1.0
2020-02-03 15:37:00,1.10583,1.10588,1.10581,1.10586,0.0
2020-02-03 15:42:00,1.10587,1.10593,1.10587,1.10584,0.0
2020-02-03 15:47:00,1.10583,1.10583,1.10576,1.10581,0.0
2020-02-03 15:52:00,1.1058,1.10591,1.10572,1.10573,1.0
2020-02-03 15:57:00,1.10572,1.10588,1.10571,1.10586,1.0
2020-02-03 16:02:00,1.10586,1.10591,1.10581,1.10596,1.0
2020-02-03 16:07:00,1.10596,1.10597,1.1059,1.10598,0.0
2020-02-03 16:12:00,1.10597,1.10601,1.10597,1.10597,0.0
2020-02-03 16:17:00,1.10597,1.106,1.10596,1.10596,0.5
2020-02-03 16:22:00,1.10596,1.10597,1.10595,1.10596,1.0
2020-02-03 16:27:00,1.10596,1.10603,1.10595,1.10601,0.5
2020-02-03 16:32:00,1.10601,1.10601,1.106,1.10601,0.5
2020-02-03 16:37:00,1.10601,1.10603,1.10597,1.10601,1.0
2020-02-03 16:42:00,1.10601,1.10613,1.10601,1.10608,0.5
2020-02-03 16:47:00,1.10608,1.1061,1.10601,1.10608,1.0
2020-02-03 16:52:00,1.10608,1.10609,1.10608,1.10612,0.0
2020-02-03 16:57:00,1.10612,1.10612,1.10584,1.10584,1.0
2020-02-03 17:02:00,1.10584,1.10595,1.10584,1.10595,0.5
2020-02-03 17:07:00,1.10595,1.10595,1.10595,1.10595,1.0
2020-02-03 17:12:00,1.10595,1.10596,1.10595,1.10596,0.5
2020-02-03 17:17:00,1.10596,1.10596,1.10596,1.10596,0.5
2020-02-03 17:22:00,1.10596,1.10598,1.10596,1.10596,1.0
2020-02-03 17:27:00,1.10596,1.10609,1.10596,1.106,0.0
2020-02-03 17:32:00,1.10599,1.10599,1.10596,1.10596,1.0
2020-02-03 17:37:00,1.10596,1.10603,1.10596,1.10598,0.5
2020-02-03 17:42:00,1.10599,1.10599,1.10596,1.10598,0.0
2020-02-03 17:47:00,1.10599,1.10599,1.10596,1.10596,1.0
2020-02-03 17:52:00,1.10598,1.10611,1.10596,1.10608,1.0
2020-02-03 17:57:00,1.10607,1.10616,1.10588,1.10615,1.0
2020-02-03 18:02:00,1.10616,1.10618,1.10616,1.10616,0.5
2020-02-03 18:07:00,1.10618,1.10618,1.10616,1.10616,1.0
2020-02-03 18:13:00,1.10617,1.10617,1.10616,1.10617,0.0
2020-02-03 18:19:00,1.10617,1.10617,1.10614,1.10615,1.0
2020-02-03 18:24:00,1.10617,1.10619,1.10617,1.10618,0.0
